PROBE ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,SYMBOL,GENENAME,ENTREZID,threshold
2665572,1.43063037198362,5.39257845596436,8.32669532072684,3.97107435816635e-11,1.93807799772948e-09,15.1475321344637,SGO1,shugoshin 1,151648,Up
2690900,1.15186712540791,5.91721304473908,7.73671561278398,3.38203028638011e-10,1.21836118876453e-08,13.0343443534153,CD80,CD80 molecule,941,Up
2709486,1.00378380186589,7.70460231593416,9.03041816067545,3.19185957859959e-12,2.35758460350858e-10,17.6354454587055,RFC4,replication factor C subunit 4,5984,Up
2711610,2.03523099429646,7.97568655237972,7.92034797404155,1.73243783747618e-10,6.96203647665509e-09,13.6941451704142,LRRC15,leucine rich repeat containing 15,131578,Up
2720251,1.29696496169419,5.55660061289034,6.93426375697776,6.38220198506028e-09,1.44525357914776e-07,10.1395452662079,NCAPG,non-SMC condensin I complex subunit G,64151,Up
2735027,1.75586132631378,9.26785595010239,5.10635786706517,4.76864607883869e-06,4.24950076280641e-05,3.65607899777241,SPP1,secreted phosphoprotein 1,6696,Up
2738378,1.21206969155406,9.45866048179525,3.82677261561108,0.000350861177519839,0.00170330952324419,-0.488762973,NPNT,nephronectin,255743,Up
2749011,1.36477808593406,5.43922671506868,6.24111661595794,8.07483016063167e-08,1.26953633332617e-06,7.64449388829551,TDO2,"tryptophan 2,3-dioxygenase",6999,Up
2752725,1.09891694446119,6.00393820265247,7.49269573665764,8.24696960412498e-10,2.54235361283466e-08,12.1554447592388,NEIL3,nei like DNA glycosylase 3,55247,Up
2773947,2.59827886237931,8.10046916045816,5.60978198425842,7.95726645865104e-07,9.08912257505802e-06,5.40281398278213,CXCL9,C-X-C motif chemokine ligand 9,4283,Up
2773958,2.66189713000884,8.74723511875072,6.86334753385121,8.27799455776505e-09,1.79868645815367e-07,9.88353772185253,CXCL10,C-X-C motif chemokine ligand 10,3627,Up
2773972,2.35357034633336,7.20856433066891,6.9777995904273,5.44033692629246e-09,1.26850906869304e-07,10.2967410324745,CXCL11,C-X-C motif chemokine ligand 11,6373,Up
2779486,1.2287391046858,9.87901723059342,6.46716250566841,3.53511257157791e-08,6.18613685237716e-07,8.45578234080691,H2AZ1,H2A.Z variant histone 1,3015,Up
2780172,1.16082889022005,4.38716129174934,7.63844070938854,4.84118734746389e-10,1.65208332876012e-08,12.6806352969598,CENPE,centromere protein E,1062,Up
2784113,1.39676763244045,7.36102452030636,7.63970216454708,4.81893633199902e-10,1.65208332876012e-08,12.6851778391475,CCNA2,cyclin A2,890,Up
2796510,1.2022908656061,5.83391904193462,8.13920248760892,7.82542934644177e-11,3.50987457155259e-09,14.478196170141,CENPU,centromere protein U,79682,Up
2798915,1.26602501022859,6.21551559622467,7.3287345054047,1.50290629883164e-09,4.29353777696234e-08,11.5639257431934,TRIP13,thyroid hormone receptor interactor 13,9319,Up
2813414,1.19974350069909,6.52573555946839,8.04418476722867,1.10458701929075e-10,4.74864548468921e-09,14.1381315963263,CCNB1,cyclin B1,891,Up
2830638,1.92771822185097,6.37247112257277,8.76131365327048,8.32753433863113e-12,5.20731131612528e-10,16.689061,KIF20A,kinesin family member 20A,10112,Up
2838201,1.08505748991816,7.6211239735113,7.04490501854601,4.25347421943502e-09,1.03795145281579e-07,10.5390692822499,PTTG1,"PTTG1 regulator of sister chromatid separation, securin",9232,Up
2838656,1.13931498700096,4.50018371698482,8.80763262345822,7.05710243495325e-12,4.52382298379018e-10,16.8524248300662,HMMR,hyaluronan mediated motility receptor,3161,Up
2853102,1.25601307930169,9.32718474987604,4.74466943745397,1.6786430125625e-05,0.000124364225343364,2.43396899328199,PRLR,prolactin receptor,5618,Up
2859667,1.45435435753457,5.50750493503362,9.52462833415801,5.58759625211852e-13,5.30123194419744e-11,19.3549693557003,CENPK,centromere protein K,64105,Up
2899102,1.57140880194139,8.7174964720236,4.66651513588094,2.19489127840334e-05,0.000155944970719612,2.17431562980581,H3C3,H3 clustered histone 3,8352,Up
2899176,1.61277506422272,6.10651851227203,8.82110613348005,6.72558974154871e-12,4.34125970091579e-10,16.8999092245818,H2BC5,H2B clustered histone 5,3017,Up
2899206,1.58507566072886,10.1485134097213,8.60058443611462,1.4811901583938e-11,8.53467973204346e-10,16.1207455122608,H2BC7,H2B clustered histone 7,8343,Up
2900051,1.89738175583839,7.78113296471604,8.38904791132214,3.17088241597964e-11,1.59712340636448e-09,15.3695883315701,H3C10,H3 clustered histone 10,8357,Up
2900059,1.96259743618797,9.74036469172192,6.57875247072031,2.34953435751306e-08,4.32766533416067e-07,8.85733921112944,H2BC14,H2B clustered histone 14,8342,Up
2900091,1.52829390394133,9.38901132715453,6.62787149460386,1.96261434599099e-08,3.70172273946939e-07,9.03426746041834,H2AC16,H2A clustered histone 16,8332,Up
2900143,1.04471176901344,5.91029736823371,5.20779972379493,3.33505705370109e-06,3.13113218456966e-05,4.00422937969526,OR2B6,olfactory receptor family 2 subfamily B member 6,26212,Up
2902844,1.48881560585783,8.15244020596772,5.1037030138186,4.8133613577488e-06,4.27895383059002e-05,3.64699670086349,CFB,complement factor B,629,Up
2902958,1.19821478118836,9.77723869531599,3.89810546705559,0.000279764042268138,0.00140494782896737,-0.272949199,C4B,complement C4B (Chido/Rodgers blood group),721,Up
2914777,1.16268779286285,4.76673257315582,6.44392763056319,3.84876874946734e-08,6.65477210876084e-07,8.3722491962446,TTK,TTK protein kinase,7272,Up
2926802,1.06142824591246,8.84528967584648,2.94642941757844,0.004806409334479,0.0157908328699436,-2.94686672,MYB,"MYB proto-oncogene, transcription factor",4602,Up
2927967,1.60884841660948,6.94462675700755,6.84993885364173,8.69523411229479e-09,1.86905076216524e-07,9.83514144231313,ABRACL,ABRA C-terminal like,58527,Up
2944025,1.07518725605959,6.88112848706822,5.35184318042535,2.00122348357877e-06,2.02523816538172e-05,4.50211589836641,TPMT,thiopurine S-methyltransferase,7172,Up
2946215,2.34901067561588,8.83001621481287,7.3191037027257,1.55686732372403e-09,4.41600601320743e-08,11.5291640051812,H3C2,H3 clustered histone 2,8358,Up
2946225,1.23633591486421,3.94242539995537,6.09160677404426,1.39230175493993e-07,2.05503346763201e-06,7.10992094022739,H2BC3,H2B clustered histone 3,3018,Up
2946324,1.45830354997734,8.03133723853524,7.79829626554918,2.70189019692141e-10,1.01486868813033e-08,13.2557813058275,H3C4,H3 clustered histone 4,8351,Up
2946345,1.11792781088391,7.39751379045982,5.95778927007301,2.26420959573669e-07,3.11679283375612e-06,6.63315973047193,H2BC8,H2B clustered histone 8,8339,Up
2946383,1.11186804735801,9.37482751144405,4.62244023880493,2.55153882623064e-05,0.000177840155491332,2.02864770131808,H4C8,H4 clustered histone 8,8365,Up
2946714,1.35926076618323,8.26073113617195,5.8858918312625,2.93843299653934e-07,3.87292507106751e-06,6.37776662314074,H2BC12,H2B clustered histone 12,85236,Up
2947073,1.13399593087018,6.10761214618789,5.85643518652481,3.26915223093097e-07,4.2402657486754e-06,6.27329807006096,H1-5,"H1.5 linker histone, cluster member",3009,Up
2947095,1.31762551671965,5.99521234508416,6.94630284994808,6.10652833065391e-09,1.39566614793941e-07,10.1830131001183,H3C12,H3 clustered histone 12,8356,Up
2947100,1.04090504640976,5.35853903322187,6.40072907470417,4.50750876329521e-08,7.60849504516035e-07,8.2170225350273,H2AC17,H2A clustered histone 17,8336,Up
2949488,1.86034766488727,8.88015430620255,6.67910571890257,1.62665877326446e-08,3.18828016547853e-07,9.2189111817165,SLC44A4,solute carrier family 44 member 4,80736,Up
2950214,1.07233168602314,8.89748693464646,5.44809792065079,1.42003206584918e-06,1.50270797122146e-05,4.83694218623743,TAP1,"transporter 1, ATP binding cassette subfamily B member",6890,Up
2951191,1.02942176495256,9.34193814636373,4.04791779009997,0.000172842698184167,0.000929272259338471,0.187221414804656,SPDEF,SAM pointed domain containing ETS transcription factor,25803,Up
2955673,1.02327129823798,7.77977383405889,3.65453623005516,0.00060130866630599,0.00269450428625024,-1.000560115,ENPP5,ectonucleotide pyrophosphatase/phosphodiesterase family member 5,59084,Up
2961177,1.03993264210501,9.66563429142662,3.92316965968564,0.000258252004221416,0.00131127678544812,-0.196604451,COL12A1,collagen type XII alpha 1 chain,1303,Up
2970942,2.03478631140974,6.43447936635815,8.78687377468421,7.60037783833066e-12,4.80723898274414e-10,16.7792332402408,COL10A1,collagen type X alpha 1 chain,1300,Up
2991150,1.22410758358325,9.68996320628182,5.5781512968395,8.91431774314835e-07,1.00518979428503e-05,5.29179141785564,TSPAN13,tetraspanin 13,27075,Up
2997376,2.39350013953299,6.73530772651586,10.0454145489046,9.16323677649032e-14,1.15252574107045e-11,21.1381801516526,ANLN,"anillin, actin binding protein",54443,Up
3007960,1.2266952413465,9.23476925970286,4.96197545153825,7.90656538007736e-06,6.54499475670864e-05,3.1644313687311,CLDN4,claudin 4,1364,Up
3039791,1.69218715247426,7.55957799515798,3.63631065130826,0.000636142881867409,0.00282928692115246,-1.053918327,AGR2,"anterior gradient 2, protein disulphide isomerase family member",10551,Up
3039830,1.63010069285963,6.2990480880424,3.62191533530379,0.000665013141190654,0.00293809800296015,-1.095951631,AGR3,"anterior gradient 3, protein disulphide isomerase family member",155465,Up
3044129,1.17057243215527,7.61000061192627,8.14302809318623,7.7176774932482e-11,3.48102047753865e-09,14.4918763027439,GGCT,gamma-glutamylcyclotransferase,79017,Up
3047581,2.37984209226143,7.84978877228985,14.5798600040677,5.53559057651147e-20,8.12292561197293e-17,35.1876143457608,INHBA,inhibin subunit beta A,3624,Up
3076868,1.00995940454326,5.54083263370002,6.19118901002313,9.68751664032511e-08,1.48904978191478e-06,7.46577487964012,CLEC5A,C-type lectin domain containing 5A,23601,Up
3078348,1.46486626208527,7.14303406832386,10.3752119475341,2.96373883663407e-14,4.41605347107105e-12,22.2509130278367,EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit,2146,Up
3079313,1.02727024142174,7.27378225376552,9.87685412566628,1.63956853374013e-13,1.89842285673185e-11,20.5644276789049,CDK5,cyclin dependent kinase 5,1020,Up
3080283,1.00951381020556,6.94795676531575,7.3519861523991,1.38022472544238e-09,3.96607394669872e-08,11.6478444483793,XRCC2,X-ray repair cross complementing 2,7516,Up
3087947,1.48931796026187,5.01077246881805,4.26922897370108,8.36907585490643e-05,0.000496661441473026,0.883028528421819,NAT1,N-acetyltransferase 1,9,Up
3090294,1.4216650542798,6.31689724997595,5.43531397594521,1.4863489501593e-06,1.56162418816021e-05,4.79238035638498,ADAMDEC1,ADAM like decysin 1,27299,Up
3095223,1.03148336446214,6.01363027341935,3.69319245493478,0.00053337223608798,0.00243771932901423,-0.886872418,IDO1,"indoleamine 2,3-dioxygenase 1",3620,Up
3097152,1.1894827757885,8.16355430011393,9.25189286551047,1.45728602096717e-12,1.19687770923539e-10,18.4091327854757,MCM4,minichromosome maintenance complex component 4,4173,Up
3102372,1.72283593843972,8.66089826967457,11.7874696975229,2.74466825244474e-16,1.00688154840935e-13,26.8592939367553,SULF1,sulfatase 1,23213,Up
3107548,1.52841431382546,9.09236060925533,6.9523465282448,5.97266088880416e-09,1.3708471201613e-07,10.2048347524277,ESRP1,epithelial splicing regulatory protein 1,54845,Up
3107828,1.10832839443339,7.75445030499095,4.92401472861438,9.02451755451439e-06,7.32443421432213e-05,3.03597331496992,PLEKHF2,pleckstrin homology and FYVE domain containing 2,79666,Up
3109687,1.24378317764473,8.29315364574971,5.8699702459039,3.11283577571807e-07,4.05904195849114e-06,6.32128800094546,GRHL2,grainyhead like transcription factor 2,79977,Up
3110317,1.34151637736233,7.71057485960973,7.50963085087281,7.75166819756611e-10,2.41674176624118e-08,12.2165038674864,CTHRC1,collagen triple helix repeat containing 1,115908,Up
3114832,1.50746255146641,7.98343655203169,7.85055034473973,2.23352915774995e-10,8.61481734734872e-09,13.4435466754231,SQLE,squalene epoxidase,6713,Up
3116839,1.26405599770775,6.73425390674097,9.70462770580627,2.98095498867155e-13,3.12756488964238e-11,19.9747910423194,CCN4,cellular communication network factor 4,8840,Up
3125571,1.48092000060698,8.14756116736351,5.99615426813838,1.96985328713288e-07,2.7722788173326e-06,6.76966459322644,MSR1,macrophage scavenger receptor 1,4481,Up
3129149,1.65220163737548,5.01024430581943,7.54180546976456,6.89131936261821e-10,2.19197731922817e-08,12.332485827654,PBK,PDZ binding kinase,55872,Up
