"","GSM2934481","GSM2934482","GSM2934483","GSM2934484","GSM2934485","GSM2934486","GSM2934487","GSM2934488","GSM2934489","GSM2934490","GSM2934491","GSM2934492","GSM2934493","GSM2934494","GSM2934495","GSM2934496","GSM2934497","GSM2934498","GSM2934499","GSM2934500","GSM2934501","GSM2934502","GSM2934503","GSM2934504","GSM2934505","GSM2934506","GSM2934507","GSM2934508","GSM2934509","GSM2934510","GSM2934511","GSM2934512","GSM2934513","GSM2934514","GSM2934515","GSM2934516","GSM2934517","GSM2934518","GSM2934519","GSM2934520","GSM2934521","GSM2934522","GSM2934523","GSM2934524","GSM2934525","GSM2934526","GSM2934527","GSM2934528","GSM2934529","GSM2934530"
"2317686",5.48143631066249,5.35305624066444,5.7341363454445,5.04521021278664,5.76202186538754,5.53497622484277,5.47006349281894,6.51440866374563,5.61600581268482,5.03515088120221,5.64979476155408,5.28679347017577,5.67729471162386,5.19698557277639,5.33103114273034,5.38466243271423,5.70144565345444,5.80757884096416,6.02957084933456,5.43011685098829,5.6313952558207,5.72243000865643,5.17142267036163,5.56161929257455,5.93447984679236,6.08492118090217,5.558941324277,5.38867831985853,5.68148493703817,5.38181236239432,5.30964334342759,5.95995941321443,5.80980250224005,5.06211586398988,5.63478569983144,5.68857623477937,5.74456311208846,5.44719288414283,5.42483445005901,5.11803152206365,5.30158691534797,5.53254080434946,5.41117915224479,5.31553962799202,5.67241167807997,5.69798476430467,5.83308306449896,5.30813775119609,5.4292208545564,5.59285149876659
"2318086",7.25818694246036,7.52445634885799,8.02998027107014,7.65513638204503,8.15798408488795,7.95426019561584,7.60743007107813,7.79334438633577,7.04468636014736,7.94717454191353,7.59157910129101,7.5077161361166,7.3983092917525,7.37482630709101,7.45484942421279,7.76435797829235,7.29138954709046,7.43135641505032,7.76457397920186,7.98167765418283,7.54097882005666,7.84275146045222,6.92188030097503,7.80120042938105,7.40439043031787,7.36070509333811,7.75082417076061,7.79857170675609,7.89929489516328,7.6486042109532,8.06820786620403,7.87758448248425,7.23600015564158,7.53101114876145,7.50909393677949,7.54235704104296,9.96310021531841,8.21605043712401,7.3578589317956,7.61464268434867,7.83659246276114,8.30405286273615,7.61593394786046,8.1623171097745,7.46431235448931,7.82977166781467,7.88121420142666,7.43365467086091,7.61105889622412,7.37626683539557
"2318157",7.425197243058,6.97051551297285,7.69943792647172,7.05880030181949,7.5521438859871,7.41938438850617,7.43697490767836,7.40113886671085,7.08578383482146,7.40110598962134,6.98139434595393,6.99067333634201,7.60363882735664,7.36868818732932,7.29100926301584,7.24245861571344,7.42334581436462,7.2662102904495,7.82015164896841,7.39946163390072,7.63643544246258,7.53065644425976,7.01151610195757,7.21705135824554,7.38626924267663,7.70630275868851,7.26322223070132,7.41225312572696,7.73144823210245,7.59500092641582,7.32277029578128,7.32846470544005,7.36286143394536,7.17962744667486,7.30935511962864,7.74803786879348,7.70524021704423,7.24351384788562,7.0723307201716,6.97562427570334,7.20529485772227,7.20882907868259,7.49857823910114,7.27100453534875,7.6146797022184,7.51971845909976,7.62633207183627,7.17512092505617,7.302555831762,7.40341145767003
"2318170",8.0928043538992,8.20373938268981,8.30983789603931,7.8536629333411,7.88545876204665,8.03845041825665,8.04688503865138,7.98924934525416,7.86736533587306,8.65649748251283,7.870081534062,7.53996641381752,8.03449366625729,8.49388121184735,8.03441007267598,7.56495839959621,7.88014358953122,7.97515590666979,8.14986553237827,8.12281376562257,8.20077201749316,7.84291588197855,7.97335088054191,7.57846935655321,8.15674559207144,8.03305992932685,7.52807695915371,7.82085531756458,8.09591816772678,8.82009918696975,7.83629038916075,7.83283827359576,7.99889959498769,7.83494492356847,7.54158598505926,8.95335272714278,7.68592812583957,7.99383073207771,8.08155035133016,8.12188830284722,7.78481285273317,7.73757965714386,7.98232560027912,7.89556117460835,8.14296890594593,8.17982127132453,7.83658061174693,7.53714027357586,8.0812561317099,8.20747454571626
"2318212",6.21570237804629,5.74482971799677,6.48607929896858,5.65758304957919,6.31379983741437,6.37537568694974,6.19057597675837,6.48048297758888,6.20931277864469,6.06942178160957,6.31341367726749,5.81338227180755,6.46446673211602,5.80095815581877,5.97286001120261,6.57313040940898,6.51136692495532,6.58552486503248,6.86766087419259,6.29388284340486,6.43059973817366,6.52390601562885,5.82313387415367,6.05596472717537,6.28772679163326,6.39963089365805,6.14724061204933,6.225107566724,6.44682653076312,6.41412045172131,6.19325197793676,6.35155926304751,6.21040607569016,5.86469896328419,6.34750157413925,6.48115665199879,6.30261231523111,6.17411032994584,6.15656778560644,5.97528614581405,6.01796827803798,6.11864242673714,6.49272475147542,5.99629961740125,6.37103276778167,6.57196646365724,6.77227004643883,6.45722684764949,6.08114447047568,6.77817943553077
"2318242",7.75187635866322,7.21899603272727,7.92083605238002,6.98421824961628,7.60233888035576,7.60571808734437,7.4544751305771,7.64935405606776,7.18571194509762,7.51294397942098,7.48442723544251,7.52794641177293,7.80981563223414,7.63343297857487,7.60305198231626,7.49297135658211,7.79522532918239,7.73192720986794,8.00993685039824,7.47490202332886,7.70487071499736,7.88381063746888,7.26016788833118,7.73750879387999,7.87330125798038,7.92083436691579,7.3793821525483,7.44796719696836,8.07411529670835,7.69150005226284,7.31795613583432,7.65846223381422,7.46158226070926,7.20289919442846,7.60100213745532,7.60210110135289,7.94346740594652,7.43647615257368,7.12460705444439,7.43712533152191,7.57935450054431,7.32635415326811,7.7228141004745,7.30188300962913,7.91058344546906,7.98607843149168,7.93258112045327,7.46930727815875,7.40356282969977,7.64327275045936
"2318257",8.0688511457284,7.79596765045525,8.37359199723862,8.06340579431266,8.38423443013567,8.60477477316138,8.1275635891598,7.98836841658586,7.71717911005025,7.90604456087646,8.29843531923397,7.87794852410965,8.4027637415691,8.29099509162951,8.02002377365359,8.16466819870378,7.92193515866336,7.85562838998338,8.73208984074026,8.39603520603629,8.22096767754863,8.1136497451642,7.98579622231726,8.25522897708339,8.25403086505316,8.88481229442801,7.97795219762054,8.19053670509881,8.35705020507145,8.25313675210091,8.01946861003724,8.18789154058062,8.12949505229827,7.98108002697517,8.14822505531514,8.11944432177311,8.4132735883734,8.13976989774802,7.76768202430289,7.89838116760743,7.81647227186875,7.74010757115929,8.30974395117424,7.87837682124004,8.19052438983536,8.49824888350216,8.51677745967582,7.86789671465585,8.04200761689858,8.49468069926437
"2318338",6.7592206274375,6.26105252127411,6.95269924060522,6.46215069136429,7.02990570286156,7.15429203702082,6.69923344336754,6.58039122115163,6.45723724750797,6.53581045159112,6.65776566874913,6.38318140997205,6.83692969380141,6.79251598867811,6.70770919436251,6.60198872217068,6.59941420216931,6.70602835128611,7.42737947022969,6.73914545874454,6.88505856133115,6.87583115909128,6.3065873837709,6.4379513164099,6.72982021302787,7.19055784012657,6.51573677418583,6.72974179399356,7.11438078307408,6.93661845986601,6.42904708470919,7.08120369481499,6.70910863069957,6.42206563614715,6.84540669250701,7.32691418194152,6.79585470800566,6.59454812396794,6.21718345441078,6.31407677025766,6.61510978880699,6.58072970086238,6.84428894449114,6.43946386972582,7.06599151669084,7.25814166611284,7.02453534866713,6.69019618343972,6.59689811524584,6.85472520801131
"2318364",6.58524796458344,6.62282302991363,6.81272085844515,6.52978313155525,6.65120544028384,6.72918714802211,6.77472015253879,6.75167153744821,6.32883694754171,6.29393169795696,6.61034641365411,6.29774530910954,6.52944787739896,6.69731954306259,6.55267850063958,6.81584573422708,6.69792574443454,6.80793551678804,6.95609354771206,6.59949851721634,6.75312653879026,6.6977354304975,6.50334819934001,6.44866586883005,6.54429495317788,6.77906985377863,6.41490624827293,6.62778739581267,6.83739845741364,6.79091765629565,6.6003355721741,6.67155109368968,6.79594687123733,6.36774169731229,6.76095010630192,7.19035195346229,6.6869191122364,6.64721473905755,6.33557343200815,6.85203318640088,6.572540941091,6.45321555146882,6.64926826996765,6.48988871348107,6.80572456688561,6.80804024953034,6.62575654662091,6.43453566326429,6.63752322846372,6.68513013966531
"2318398",7.17423526026132,6.98089479390029,7.4479073329194,7.07589163346327,7.39418032998989,7.5579356269594,7.37297898947116,7.36592177792466,6.89557405066552,7.04561121668324,7.26654563897236,7.06406476376902,7.43192898751649,7.32694766940208,7.36039394415292,7.44939221467772,7.37834764765925,7.32317959814146,7.82662295558662,7.4092659410063,7.57877319353831,7.21452396693225,7.1170287607126,7.15572273093926,7.24430096649734,7.51494368831105,7.43495078375888,7.36094254419595,7.49268069005322,7.48489924965088,7.07647671985008,7.23560272320832,7.23751435975722,6.95244115907727,7.60598272825365,7.60960988611233,7.44060011907018,7.33471946764625,7.16826492665652,7.24182931991462,7.2578736645792,7.28235719712182,7.61931117368152,7.14501037270461,7.4669443638373,7.59340401649194,7.3756062324525,7.31813779635757,7.20413325777347,7.18345432271177
