"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME","ENTREZID","threshold"
"2403446",0.318658070001916,8.31966444620724,1.54235275401246,0.129068613049948,0.232563640006217,-5.82626793317246,"PTAFR","platelet activating factor receptor","5724","Not Sig"
"2403470",0.0591757236489308,5.4039430219528,0.503736408975432,0.616579918396235,0.732409097885566,-6.87384595710183,"DNAJC8","DnaJ heat shock protein family (Hsp40) member C8","22826","Not Sig"
"2403557",0.747484195260865,8.08592155104975,5.12830559696493,4.41432440029707e-06,3.98865740455414e-05,3.73122066465794,"SNORA44","small nucleolar RNA, H/ACA box 44","677825","Not Sig"
"2403585",0.226208811974698,7.13422605339519,2.98276665895105,0.00434575986619121,0.0144711831187193,-2.85386724782126,"TAF12","TATA-box binding protein associated factor 12","6883","Not Sig"
"2403707",-0.166983271988689,7.60782804704033,-2.74173434189753,0.00836686700140164,0.0251053054248497,-3.45530822074332,"TMEM200B","transmembrane protein 200B","399474","Not Sig"
"2403740",-0.277359134166833,8.25294539692106,-3.52479023835953,0.000895162373355599,0.00379934805243542,-1.37693809099898,"SRSF4","serine and arginine rich splicing factor 4","6429","Not Sig"
"2403793",-0.065603792870478,7.89048442587091,-1.12722133894796,0.264837676410876,0.40066960584781,-6.36730134874359,"MECR","mitochondrial trans-2-enoyl-CoA reductase","51102","Not Sig"
"2404122",-0.0905420272414439,5.66051858659356,-1.34768176316271,0.183619169830266,0.304065719766325,-6.09952362800729,"MATN1","matrilin 1","4146","Not Sig"
"2404158",0.809319038453092,10.7687595782116,4.66460055228649,2.20931587973198e-05,0.000156817967845149,2.16797630608157,"LAPTM5","lysosomal protein transmembrane 5","7805","Not Sig"
"2404209",-0.241828379605424,8.54386463102008,-2.77711342393363,0.00761491135390228,0.0232052905732719,-3.36934751272127,"SDC3","syndecan 3","9672","Not Sig"
"2404254",-0.117500406362144,9.72879494723952,-1.62413742956628,0.110410030101071,0.205652294706776,-5.70144624952819,"PUM1","pumilio RNA binding family member 1","9698","Not Sig"
"2404344",1.4901305077534,6.99517419942769,5.7143195361466,5.46236620206541e-07,6.59529031671211e-06,5.77076185061561,"NKAIN1","sodium/potassium transporting ATPase interacting 1","79570","Up"
"2404377",0.457446853460054,7.84603809202513,5.93225090791118,2.48398069010482e-07,3.36668097105278e-06,6.54237823100436,"SNRNP40","small nuclear ribonucleoprotein U5 subunit 40","9410","Not Sig"
"2404418",0.0560449514364469,7.29992271470329,0.23437010966754,0.815620536834914,0.881285264975147,-6.974050067549,"FABP3","fatty acid binding protein 3","2170","Not Sig"
"2404521",0.133277286507393,8.71163044170706,1.31456292602929,0.194441204244953,0.31763732719576,-6.14260933743009,"PEF1","penta-EF-hand domain containing 1","553115","Not Sig"
"2404546",-0.186714169501069,7.6811807586069,-2.81590023083997,0.00686248636682761,0.0212926680885597,-3.27417344303764,"COL16A1","collagen type XVI alpha 1 chain","1307","Not Sig"
"2404693",0.520897997531589,7.52920808477451,4.04901141523199,0.000172231186990325,0.000927116815075582,0.190613960811062,"ADGRB2","adhesion G protein-coupled receptor B2","576","Not Sig"
"2404766",0.273012854483047,6.90052078483704,2.84108250113586,0.00641142218764995,0.0201257578112326,-3.21186451473198,"SPOCD1","SPOC domain containing 1","90853","Not Sig"
"2404819",0.102693444745352,10.7719403701541,0.660169098589618,0.51206703670517,0.643364777950654,-6.7824202877383,"PTP4A2","protein tyrosine phosphatase 4A2","8073","Not Sig"
"2404930",0.00809334628635039,7.97662167380201,0.0998153165772153,0.920875822883194,0.95145005738444,-6.9967663194995,"TMEM234","transmembrane protein 234","56063","Not Sig"
"2404958",-0.219954519962061,8.38676368642768,-3.01347211099578,0.00398895723831916,0.0134622719675932,-2.77465631172422,"MTMR9LP","myotubularin related protein 9 like, pseudogene","339483","Not Sig"
"2404999",0.296121019620593,10.4286482377282,4.52063123579166,3.605983571775e-05,0.000239647658207547,1.69436343655766,"MARCKSL1","MARCKS like 1","65108","Not Sig"
"2405036",-0.01667435880311,8.29218419825721,-0.297067176591435,0.767601907946367,0.847411254679882,-6.95723033479568,"BSDC1","BSD domain containing 1","55108","Not Sig"
"2405104",0.0025065361431249,3.98223168144879,0.0166865508079159,0.986750711096889,0.991829147227749,-7.00166145599635,"ZBTB8OS","zinc finger and BTB domain containing 8 opposite strand","339487","Not Sig"
"2405152",-0.0431669512161985,7.08050537692896,-0.465102788514784,0.64380502498043,0.754256905915597,-6.89268075989132,"SYNC","syncoilin, intermediate filament protein","81493","Not Sig"
"2405192",0.620585334642606,8.21237060259744,6.50180611801682,3.11416067046997e-08,5.54129268534475e-07,8.58038384017831,"YARS1","tyrosyl-tRNA synthetase 1","8565","Not Sig"
"2405250",-0.173887247491106,6.25638995807978,-2.24908493249304,0.02878067572517,0.0697600983797729,-4.56287462035981,"FNDC5","fibronectin type III domain containing 5","252995","Not Sig"
"2405284",0.609803257299692,8.92473758507025,5.18438485290315,3.62257839002468e-06,3.3629933759103e-05,3.92367957724639,"TMEM54","transmembrane protein 54","113452","Not Sig"
"2405312",0.338843579938481,8.03077769188315,3.395479141487,0.00132132296093102,0.00528313164269804,-1.74374340538296,"RNF19B","ring finger protein 19B","127544","Not Sig"
"2405364",0.188478181483342,8.69414595977775,1.70888563485439,0.0934513065294454,0.180148949132412,-5.56597930726437,"AK2","adenylate kinase 2","204","Not Sig"
"2405428",0.24665415950266,7.12319263974615,3.03877048929536,0.00371574810584353,0.012657565740678,-2.7089682607333,"TRIM62","tripartite motif containing 62","55223","Not Sig"
