"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0014808","GO:0014808","release of sequestered calcium ion into cytosol by sarcoplasmic reticulum",34,-0.611558712360079,-1.72045537546602,0.0038014129140909,0.0246884618454855,0.0174322692201479,2166,"tags=35%, list=13%, signal=31%","6263/775/444/5350/817/9472/1193/2946/477/845/287/1756"
"GO:0090317","GO:0090317","negative regulation of intracellular protein transport",34,-0.611370136753178,-1.7199248688932,0.0038014129140909,0.0246884618454855,0.0174322692201479,759,"tags=15%, list=4%, signal=14%","29969/284/347/948/9370"
"GO:0003203","GO:0003203","endocardial cushion morphogenesis",40,-0.581317899188202,-1.71221948864456,0.00380501736782966,0.0246884618454855,0.0174322692201479,3469,"tags=50%, list=20%, signal=40%","4846/187/4487/23493/90/3516/6091/23462/4089/657/7291/8642/94/650/4087/653/6591/55273/7048/11096"
"GO:1902904","GO:1902904","negative regulation of supramolecular fiber organization",153,-0.422055347620111,-1.53101460310786,0.00382802362543023,0.024811563034796,0.0175191897049805,2112,"tags=30%, list=12%, signal=27%","5290/119/7082/6710/11075/51763/4089/79822/11078/2039/1191/84952/23075/93661/10163/25999/5962/51474/2059/6840/4653/4133/29767/25959/395/90102/23189/10391/1003/6622/89795/4131/120/5071/4281/1901/10395/5295/6711/25802/4233/7111/9353/2934/130271/1410"
"GO:0002792","GO:0002792","negative regulation of peptide secretion",44,-0.583963907103107,-1.7367239359278,0.00390808336923372,0.0252241561428716,0.0178105174589478,2117,"tags=39%, list=12%, signal=34%","131177/1813/3625/8620/8609/4856/3033/2308/7447/3745/150/3667/1393/5071/8622/2770/3952"
"GO:0060042","GO:0060042","retina morphogenesis in camera-type eye",69,-0.500537047534654,-1.61779432583267,0.00390740556366799,0.0252241561428716,0.0178105174589478,1932,"tags=19%, list=11%, signal=17%","23554/28514/4041/7021/221935/50937/7068/5629/5797/25945/8842/4915/5950"
"GO:0035023","GO:0035023","regulation of Rho protein signal transduction",89,-0.464654008481421,-1.56049568477008,0.00390710109102256,0.0252241561428716,0.0178105174589478,2011,"tags=27%, list=12%, signal=24%","57493/19/9754/23348/9750/54922/408/90627/9639/2059/4653/8829/604/25959/64283/23189/143872/57569/1902/139818/10979/7010/10395/4233"
"GO:0006874","GO:0006874","intracellular calcium ion homeostasis",284,-0.374906834880211,-1.45028289350624,0.00390308539384098,0.0252241561428716,0.0178105174589478,2166,"tags=21%, list=13%, signal=19%","6263/666/775/5336/493/27185/2852/2039/3709/1813/83636/785/6357/7225/444/5334/3356/3708/7178/2835/5581/5350/1908/5745/9899/3690/817/3357/23228/344905/825/6355/64072/130733/9104/468/794/9472/1193/1003/5587/6622/1906/2946/477/23236/84239/6376/5311/286097/845/7220/6358/287/6387/6366/858/857/2247/1756"
"GO:0046545","GO:0046545","development of primary female sexual characteristics",104,-0.453759185360823,-1.55623462789035,0.00391404087981656,0.0252361273079158,0.0178189701755745,3119,"tags=36%, list=18%, signal=29%","596/10468/9468/63951/2296/83943/3417/64478/10184/2620/49855/2796/23411/4089/3625/4855/4313/4327/4882/2069/283/3791/6777/6776/25976/23414/3973/2494/117/5806/9510/8322/9353/6586/3815/3952/6422"
"GO:0072311","GO:0072311","glomerular epithelial cell differentiation",25,-0.648987349570095,-1.73785814449634,0.00392356092713168,0.0252710191233371,0.0178436069279089,655,"tags=32%, list=4%, signal=31%","182/4853/3913/28999/1906/8842/1910/9370"
